,Unnamed: 0,Unnamed: 0.1,roles,companies,locations,experience,skills,skill index,min_experience,max_experience,avg_experience,labels
5,6,6,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,2,6,4.0,0
9,10,10,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"'r', 'python', 'it skills', 'machine learning', 'big data'",1.0,5,10,7.5,0
18,20,26,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,2,6,4.0,0
22,24,30,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"'r', 'python', 'it skills', 'machine learning', 'big data'",1.0,5,10,7.5,0
34,39,45,Data Scientist - R/Python,Serving Skill,'Noida',1-5 ,"'r', 'python', 'it skills', 'java', 'machine learning'",1.0,1,5,3.0,0
45,51,57,Data Scientist - Immediate Joiners only,MLAI Digital,"'Bangalore', 'Delhi'",3-6 ,"'big data', 'it skills', 'python'",-1.0,3,6,4.5,0
46,52,58,Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",2-5 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,5,3.5,0
77,84,90,Associate Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',4-8 ,"'it skills', 'big data'",-1.0,4,8,6.0,0
81,88,94,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'data science'",-1.0,8,12,10.0,0
82,89,95,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'data science'",-1.0,8,12,10.0,0
156,166,172,Data Scientist: Artificial Intelligence,IBM,'Bangalore',4-8 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,4,8,6.0,0
179,193,199,Senior Data Scientist,Walmart,'Bangalore',5-9 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,9,7.0,0
199,213,219,Data Scientist: Artificial Intelligence,IBM,'Mumbai',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
222,238,244,Data Scientist: Artificial Intelligence,IBM,'Bangalore',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
227,243,249,Data Scientist: Artificial Intelligence,IBM,'Bangalore',1-2 ,"'it skills', 'java', 'python'",-1.0,1,2,1.5,0
277,297,303,Lead Data Scientist,DataTrained,"'Noida', 'Bengaluru'",2-4 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,2,4,3.0,0
295,317,323,Data Scientist,ARIMAX GLOBAL PRIVATE LIMITED,"'Mumbai', ' Mumbai Suburban', 'Mumbai'",1-4 ,"'java', 'python', 'r', 'big data', 'artificial intelligence'",-1.0,1,4,2.5,0
307,331,337,Multiple Roles For Data Scientist For A Leading MNC,Mississippi Consultants,"'Hyderabad', ' Pune', ' Chennai', 'Mumbai'",5-8 ,"'sql', 'it skills', 'python', 'machine learning', 'big data'",-1.0,5,8,6.5,0
309,333,339,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,'Bangalore',2-7 ,"'it skills', 'java', 'python', 'machine learning', 'r'",-1.0,2,7,4.5,0
342,369,375,Senior Data Scientist,Visa,'Bangalore',4-9 ,"'it skills', 'java', 'python', 'data science', 'big data'",-1.0,4,9,6.5,0
353,380,386,Senior Data Scientist,iNICU,'Delhi',1-5 ,"'it skills', 'java', 'python', 'machine learning', 'big data'",-1.0,1,5,3.0,0
358,387,393,Senior Data Scientist,Birdeye,'Gurgaon',15-16 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,15,16,15.5,0
378,408,414,Sr Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',3-8 ,"'it skills', 'python', 'big data'",-1.0,3,8,5.5,0
440,477,483,Data Scientist: Artificial Intelligence,IBM,'Delhi',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
441,478,484,Data Scientist: Artificial Intelligence,IBM,'Gurgaon',4-8 ,"'it skills', 'python', 'artificial intelligence', 'big data'",-1.0,4,8,6.0,0
454,492,498,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
455,493,499,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
456,494,500,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
488,528,534,Hiring Data Scientist || Hanu Software,Hanu Software Solutions,'Remote',13-21 ,"'machine learning', 'it skills', 'python', 'artificial intelligence', 'big data'",-1.0,13,21,17.0,0
516,559,565,Senior Data Scientist,Microsoft,'Bangalore',8-10 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,8,10,9.0,0
533,576,582,Senior Data Scientist,Razorpay,'Bangalore',4-6 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,4,6,5.0,0
537,580,586,Sr. Data Scientist,NutaNXT Technologies,"'Pune', ' Bangalore', 'Mumbai'",5-8 ,"'python', 'it skills', 'machine learning', 'big data'",-1.0,5,8,6.5,0
569,614,620,Sr. Data Scientist,Ideapoke,'Bengaluru',3-4 ,"'it skills', 'python', 'machine learning', 'artificial intelligence', 'big data', 'computer science'",-1.0,3,4,3.5,0
668,717,723,Data Scientist,Efftronics Systems Pvt. Ltd.,'mangalagiri',5-10 ,"'python', 'java', 'it skills', 'computer science'",-1.0,5,10,7.5,0
686,735,741,Data Scientist / Data Engineer,FISSION COMPUTER LABS PRIVATE LIMITED,'Hyderabad',6-10 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,6,10,8.0,0
692,741,747,Senior Data Scientist,Finbots.AI,'Hyderabad',5-10 ,"'data science', 'machine learning', 'it skills', 'java', 'python', 'big data'",-1.0,5,10,7.5,0
731,783,789,Senior Data Scientist,Oportun,'Chennai\n',3-8 ,"'python', 'it skills', 'machine learning', 'big data'",-1.0,3,8,5.5,0
